div,state
Banks,New South Wales
Barton,New South Wales
Bennelong,New South Wales
Berowra,New South Wales
Blaxland,New South Wales
Bradfield,New South Wales
Calare,New South Wales
Chifley,New South Wales
Cook,New South Wales
Cowper,New South Wales
Cunningham,New South Wales
Dobell,New South Wales
Eden-Monaro,New South Wales
Farrer,New South Wales
Fowler,New South Wales
Gilmore,New South Wales
Grayndler,New South Wales
Greenway,New South Wales
Hughes,New South Wales
Hume,New South Wales
Hunter,New South Wales
Kingsford Smith,New South Wales
Lindsay,New South Wales
Lyne,New South Wales
Macarthur,New South Wales
Mackellar,New South Wales
Macquarie,New South Wales
McMahon,New South Wales
Mitchell,New South Wales
Newcastle,New South Wales
New England,New South Wales
North Sydney,New South Wales
Page,New South Wales
Parkes,New South Wales
Parramatta,New South Wales
Paterson,New South Wales
Reid,New South Wales
Richmond,New South Wales
Riverina,New South Wales
Robertson,New South Wales
Shortland,New South Wales
Sydney,New South Wales
Warringah,New South Wales
Watson,New South Wales
Wentworth,New South Wales
Werriwa,New South Wales
Whitlam,New South Wales
New South Wales (Total),New South Wales
Aston,Victoria
Ballarat,Victoria
Batman,Victoria
Bendigo,Victoria
Bruce,Victoria
Calwell,Victoria
Casey,Victoria
Chisholm,Victoria
Corangamite,Victoria
Corio,Victoria
Deakin,Victoria
Dunkley,Victoria
Flinders,Victoria
Gellibrand,Victoria
Gippsland,Victoria
Goldstein,Victoria
Gorton,Victoria
Higgins,Victoria
Holt,Victoria
Hotham,Victoria
Indi,Victoria
Isaacs,Victoria
Jagajaga,Victoria
Kooyong,Victoria
Lalor,Victoria
La Trobe,Victoria
Mallee,Victoria
Maribyrnong,Victoria
McEwen,Victoria
McMillan,Victoria
Melbourne,Victoria
Melbourne Ports,Victoria
Menzies,Victoria
Murray,Victoria
Scullin,Victoria
Wannon,Victoria
Wills,Victoria
Victoria (Total),Victoria
Blair,Queensland
Bonner,Queensland
Bowman,Queensland
Brisbane,Queensland
Capricornia,Queensland
Dawson,Queensland
Dickson,Queensland
Fadden,Queensland
Fairfax,Queensland
Fisher,Queensland
Flynn,Queensland
Forde,Queensland
Griffith,Queensland
Groom,Queensland
Herbert,Queensland
Hinkler,Queensland
Kennedy,Queensland
Leichhardt,Queensland
Lilley,Queensland
Longman,Queensland
Maranoa,Queensland
McPherson,Queensland
Moncrieff,Queensland
Moreton,Queensland
Oxley,Queensland
Petrie,Queensland
Rankin,Queensland
Ryan,Queensland
Wide Bay,Queensland
Wright,Queensland
Queensland (Total),Queensland
Adelaide,South Australia
Barker,South Australia
Boothby,South Australia
Grey,South Australia
Hindmarsh,South Australia
Kingston,South Australia
Makin,South Australia
Mayo,South Australia
Port Adelaide,South Australia
Sturt,South Australia
Wakefield,South Australia
South Australia (Total),South Australia
Brand,Western Australia
Burt,Western Australia
Canning,Western Australia
Cowan,Western Australia
Curtin,Western Australia
Durack,Western Australia
Forrest,Western Australia
Fremantle,Western Australia
Hasluck,Western Australia
Moore,Western Australia
O'Connor,Western Australia
Pearce,Western Australia
Perth,Western Australia
Stirling,Western Australia
Swan,Western Australia
Tangney,Western Australia
Western Australia (Total),Western Australia
Bass,Tasmania
Braddon,Tasmania
Denison,Tasmania
Franklin,Tasmania
Lyons,Tasmania
Tasmania (Total),Tasmania
Lingiari(c),Northern Territory
Solomon,Northern Territory
Northern Territory (Total),Northern Territory
Canberra(d),Australian Capital Territory
Fenner(e),Australian Capital Territory
Australian Capital Territory (Total),Australian Capital Territory
Australia (Total),Australia
